Data from Accelerometer (Altitude):
Reading: 4.17, Time Elapsed: 445
Reading: 4.17, Time Elapsed: 622
Reading: 4.17, Time Elapsed: 841
Reading: 4.17, Time Elapsed: 1052
Reading: 4.17, Time Elapsed: 1263
Reading: 4.06, Time Elapsed: 1475
Reading: 4.06, Time Elapsed: 1684
Reading: 4.14, Time Elapsed: 1896
Reading: 4.17, Time Elapsed: 2107
Reading: 4.17, Time Elapsed: 2317
Reading: 4.17, Time Elapsed: 2528
Reading: 4.17, Time Elapsed: 2739
Reading: 4.08, Time Elapsed: 2950
Reading: 4.06, Time Elapsed: 3162
Reading: 4.06, Time Elapsed: 3372
Reading: 4.06, Time Elapsed: 3583
Reading: 4.17, Time Elapsed: 3794
Reading: 4.17, Time Elapsed: 4005
Reading: 4.09, Time Elapsed: 4216
Reading: 4.06, Time Elapsed: 4428
Reading: 4.06, Time Elapsed: 4638
Reading: 4.06, Time Elapsed: 4848
Reading: 4.06, Time Elapsed: 5059
Reading: 4.06, Time Elapsed: 5262
Reading: 4.17, Time Elapsed: 5473
Reading: 4.17, Time Elapsed: 5694
Reading: 4.17, Time Elapsed: 5896
Reading: 4.07, Time Elapsed: 6107
Reading: 4.06, Time Elapsed: 6327
Reading: 4.07, Time Elapsed: 6538
Reading: 4.17, Time Elapsed: 6749
Reading: 4.17, Time Elapsed: 6951
Reading: 4.17, Time Elapsed: 7170
Reading: 4.08, Time Elapsed: 7382
Reading: 4.06, Time Elapsed: 7592
Reading: 4.06, Time Elapsed: 7804
Reading: 4.06, Time Elapsed: 8014
Reading: 4.06, Time Elapsed: 8225
Reading: 4.1, Time Elapsed: 8436
Reading: 4.17, Time Elapsed: 8647
Reading: 4.17, Time Elapsed: 8858
Reading: 4.17, Time Elapsed: 9069
Reading: 4.17, Time Elapsed: 9280
Reading: 4.17, Time Elapsed: 9491
Reading: 4.17, Time Elapsed: 9701

Data from Flex Sensors:
Reading: 853.0, Time Elapsed: 445
Reading: 854.0, Time Elapsed: 622
Reading: 853.0, Time Elapsed: 841
Reading: 853.0, Time Elapsed: 1052
Reading: 853.0, Time Elapsed: 1263
Reading: 830.0, Time Elapsed: 1475
Reading: 830.0, Time Elapsed: 1684
Reading: 848.0, Time Elapsed: 1896
Reading: 854.0, Time Elapsed: 2107
Reading: 854.0, Time Elapsed: 2317
Reading: 853.0, Time Elapsed: 2528
Reading: 854.0, Time Elapsed: 2739
Reading: 834.0, Time Elapsed: 2950
Reading: 830.0, Time Elapsed: 3162
Reading: 830.0, Time Elapsed: 3372
Reading: 830.0, Time Elapsed: 3583
Reading: 853.0, Time Elapsed: 3794
Reading: 853.0, Time Elapsed: 4005
Reading: 836.0, Time Elapsed: 4216
Reading: 830.0, Time Elapsed: 4428
Reading: 830.0, Time Elapsed: 4638
Reading: 830.0, Time Elapsed: 4848
Reading: 831.0, Time Elapsed: 5059
Reading: 831.0, Time Elapsed: 5262
Reading: 854.0, Time Elapsed: 5473
Reading: 854.0, Time Elapsed: 5694
Reading: 854.0, Time Elapsed: 5896
Reading: 832.0, Time Elapsed: 6107
Reading: 831.0, Time Elapsed: 6327
Reading: 833.0, Time Elapsed: 6538
Reading: 853.0, Time Elapsed: 6749
Reading: 853.0, Time Elapsed: 6951
Reading: 854.0, Time Elapsed: 7170
Reading: 834.0, Time Elapsed: 7382
Reading: 830.0, Time Elapsed: 7592
Reading: 830.0, Time Elapsed: 7804
Reading: 830.0, Time Elapsed: 8014
Reading: 830.0, Time Elapsed: 8225
Reading: 838.0, Time Elapsed: 8436
Reading: 853.0, Time Elapsed: 8647
Reading: 853.0, Time Elapsed: 8858
Reading: 854.0, Time Elapsed: 9069
Reading: 853.0, Time Elapsed: 9280
Reading: 853.0, Time Elapsed: 9491
Reading: 853.0, Time Elapsed: 9701

Data from Force Sensor 0:
Reading: 0.0, Time Elapsed: 445
Reading: 0.0, Time Elapsed: 445
Reading: 0.0, Time Elapsed: 445

Data from Force Sensor 1:
Reading: 0.0, Time Elapsed: 622
Reading: 0.0, Time Elapsed: 622
Reading: 0.0, Time Elapsed: 622

Data from Force Sensor 2:
Reading: 0.0, Time Elapsed: 841
Reading: 0.0, Time Elapsed: 841
Reading: 0.0, Time Elapsed: 841

Data from Force Sensor 3:
Reading: 0.0, Time Elapsed: 1052
Reading: 0.0, Time Elapsed: 1052
Reading: 0.0, Time Elapsed: 1052

Data from Force Sensor 4:
Reading: 0.0, Time Elapsed: 1263
Reading: 0.0, Time Elapsed: 1263
Reading: 0.0, Time Elapsed: 1263

Data from Force Sensor 5:
Reading: 0.0, Time Elapsed: 1475
Reading: 0.0, Time Elapsed: 1475
Reading: 43.0, Time Elapsed: 1475

Data from Force Sensor 6:
Reading: 0.0, Time Elapsed: 1684
Reading: 0.0, Time Elapsed: 1684
Reading: 45.0, Time Elapsed: 1684

Data from Force Sensor 7:
Reading: 0.0, Time Elapsed: 1896
Reading: 0.0, Time Elapsed: 1896
Reading: 9.0, Time Elapsed: 1896

Data from Force Sensor 8:
Reading: 0.0, Time Elapsed: 2107
Reading: 0.0, Time Elapsed: 2107
Reading: 0.0, Time Elapsed: 2107

Data from Force Sensor 9:
Reading: 0.0, Time Elapsed: 2317
Reading: 0.0, Time Elapsed: 2317
Reading: 0.0, Time Elapsed: 2317

Data from Force Sensor 10:
Reading: 0.0, Time Elapsed: 2528
Reading: 0.0, Time Elapsed: 2528
Reading: 0.0, Time Elapsed: 2528

Data from Force Sensor 11:
Reading: 0.0, Time Elapsed: 2739
Reading: 0.0, Time Elapsed: 2739
Reading: 0.0, Time Elapsed: 2739

Data from Force Sensor 12:
Reading: 0.0, Time Elapsed: 2950
Reading: 37.0, Time Elapsed: 2950
Reading: 0.0, Time Elapsed: 2950

Data from Force Sensor 13:
Reading: 0.0, Time Elapsed: 3162
Reading: 45.0, Time Elapsed: 3162
Reading: 0.0, Time Elapsed: 3162

Data from Force Sensor 14:
Reading: 0.0, Time Elapsed: 3372
Reading: 43.0, Time Elapsed: 3372
Reading: 0.0, Time Elapsed: 3372

Data from Force Sensor 15:
Reading: 0.0, Time Elapsed: 3583
Reading: 44.0, Time Elapsed: 3583
Reading: 0.0, Time Elapsed: 3583

Data from Force Sensor 16:
Reading: 0.0, Time Elapsed: 3794
Reading: 0.0, Time Elapsed: 3794
Reading: 0.0, Time Elapsed: 3794

Data from Force Sensor 17:
Reading: 0.0, Time Elapsed: 4005
Reading: 0.0, Time Elapsed: 4005
Reading: 0.0, Time Elapsed: 4005

Data from Force Sensor 18:
Reading: 0.0, Time Elapsed: 4216
Reading: 0.0, Time Elapsed: 4216
Reading: 33.0, Time Elapsed: 4216

Data from Force Sensor 19:
Reading: 0.0, Time Elapsed: 4428
Reading: 0.0, Time Elapsed: 4428
Reading: 44.0, Time Elapsed: 4428

Data from Force Sensor 20:
Reading: 0.0, Time Elapsed: 4638
Reading: 0.0, Time Elapsed: 4638
Reading: 44.0, Time Elapsed: 4638

Data from Force Sensor 21:
Reading: 0.0, Time Elapsed: 4848
Reading: 0.0, Time Elapsed: 4848
Reading: 43.0, Time Elapsed: 4848

Data from Force Sensor 22:
Reading: 0.0, Time Elapsed: 5059
Reading: 0.0, Time Elapsed: 5059
Reading: 42.0, Time Elapsed: 5059

Data from Force Sensor 23:
Reading: 0.0, Time Elapsed: 5262
Reading: 0.0, Time Elapsed: 5262
Reading: 42.0, Time Elapsed: 5262

Data from Force Sensor 24:
Reading: 0.0, Time Elapsed: 5473
Reading: 0.0, Time Elapsed: 5473
Reading: 0.0, Time Elapsed: 5473

Data from Force Sensor 25:
Reading: 0.0, Time Elapsed: 5694
Reading: 0.0, Time Elapsed: 5694
Reading: 0.0, Time Elapsed: 5694

Data from Force Sensor 26:
Reading: 0.0, Time Elapsed: 5896
Reading: 0.0, Time Elapsed: 5896
Reading: 0.0, Time Elapsed: 5896

Data from Force Sensor 27:
Reading: 0.0, Time Elapsed: 6107
Reading: 40.0, Time Elapsed: 6107
Reading: 0.0, Time Elapsed: 6107

Data from Force Sensor 28:
Reading: 0.0, Time Elapsed: 6327
Reading: 41.0, Time Elapsed: 6327
Reading: 0.0, Time Elapsed: 6327

Data from Force Sensor 29:
Reading: 0.0, Time Elapsed: 6538
Reading: 39.0, Time Elapsed: 6538
Reading: 0.0, Time Elapsed: 6538

Data from Force Sensor 30:
Reading: 0.0, Time Elapsed: 6749
Reading: 0.0, Time Elapsed: 6749
Reading: 0.0, Time Elapsed: 6749

Data from Force Sensor 31:
Reading: 0.0, Time Elapsed: 6951
Reading: 0.0, Time Elapsed: 6951
Reading: 0.0, Time Elapsed: 6951

Data from Force Sensor 32:
Reading: 0.0, Time Elapsed: 7170
Reading: 0.0, Time Elapsed: 7170
Reading: 0.0, Time Elapsed: 7170

Data from Force Sensor 33:
Reading: 0.0, Time Elapsed: 7382
Reading: 37.0, Time Elapsed: 7382
Reading: 0.0, Time Elapsed: 7382

Data from Force Sensor 34:
Reading: 0.0, Time Elapsed: 7592
Reading: 43.0, Time Elapsed: 7592
