Data from Accelerometer (Altitude):
Reading: 4.17, Time Elapsed: 191
Reading: 4.17, Time Elapsed: 402
Reading: 4.17, Time Elapsed: 613
Reading: 4.17, Time Elapsed: 816
Reading: 4.06, Time Elapsed: 1029
Reading: 4.06, Time Elapsed: 1246
Reading: 4.17, Time Elapsed: 1458
Reading: 4.06, Time Elapsed: 1671
Reading: 4.06, Time Elapsed: 1881
Reading: 4.17, Time Elapsed: 2083
Reading: 4.09, Time Elapsed: 2302
Reading: 4.06, Time Elapsed: 2516
Reading: 4.17, Time Elapsed: 2727
Reading: 4.17, Time Elapsed: 2937
Reading: 4.06, Time Elapsed: 3148
Reading: 4.06, Time Elapsed: 3350
Reading: 4.17, Time Elapsed: 3562
Reading: 4.17, Time Elapsed: 3781
Reading: 4.06, Time Elapsed: 3994
Reading: 4.06, Time Elapsed: 4205
Reading: 4.17, Time Elapsed: 4415
Reading: 4.17, Time Elapsed: 4627
Reading: 4.17, Time Elapsed: 4838
Reading: 4.08, Time Elapsed: 5048
Reading: 4.06, Time Elapsed: 5259
Reading: 4.17, Time Elapsed: 5470
Reading: 4.17, Time Elapsed: 5674
Reading: 4.17, Time Elapsed: 5892
Reading: 4.17, Time Elapsed: 6103
Reading: 4.06, Time Elapsed: 6314
Reading: 4.05, Time Elapsed: 6526
Reading: 4.06, Time Elapsed: 6729
Reading: 4.17, Time Elapsed: 6947
Reading: 4.06, Time Elapsed: 7159
Reading: 4.06, Time Elapsed: 7360
Reading: 4.17, Time Elapsed: 7581
Reading: 4.17, Time Elapsed: 7793
Reading: 4.17, Time Elapsed: 8003
Reading: 4.17, Time Elapsed: 8214
Reading: 4.17, Time Elapsed: 8425
Reading: 4.17, Time Elapsed: 8636
Reading: 4.17, Time Elapsed: 8846

Data from Flex Sensors:
Reading: 854.0, Time Elapsed: 191
Reading: 854.0, Time Elapsed: 402
Reading: 853.0, Time Elapsed: 613
Reading: 854.0, Time Elapsed: 816
Reading: 830.0, Time Elapsed: 1029
Reading: 830.0, Time Elapsed: 1246
Reading: 853.0, Time Elapsed: 1458
Reading: 830.0, Time Elapsed: 1671
Reading: 830.0, Time Elapsed: 1881
Reading: 853.0, Time Elapsed: 2083
Reading: 836.0, Time Elapsed: 2302
Reading: 830.0, Time Elapsed: 2516
Reading: 853.0, Time Elapsed: 2727
Reading: 854.0, Time Elapsed: 2937
Reading: 831.0, Time Elapsed: 3148
Reading: 830.0, Time Elapsed: 3350
Reading: 854.0, Time Elapsed: 3562
Reading: 853.0, Time Elapsed: 3781
Reading: 830.0, Time Elapsed: 3994
Reading: 830.0, Time Elapsed: 4205
Reading: 854.0, Time Elapsed: 4415
Reading: 853.0, Time Elapsed: 4627
Reading: 853.0, Time Elapsed: 4838
Reading: 834.0, Time Elapsed: 5048
Reading: 831.0, Time Elapsed: 5259
Reading: 854.0, Time Elapsed: 5470
Reading: 853.0, Time Elapsed: 5674
Reading: 853.0, Time Elapsed: 5892
Reading: 853.0, Time Elapsed: 6103
Reading: 831.0, Time Elapsed: 6314
Reading: 829.0, Time Elapsed: 6526
Reading: 831.0, Time Elapsed: 6729
Reading: 854.0, Time Elapsed: 6947
Reading: 830.0, Time Elapsed: 7159
Reading: 830.0, Time Elapsed: 7360
Reading: 853.0, Time Elapsed: 7581
Reading: 854.0, Time Elapsed: 7793
Reading: 853.0, Time Elapsed: 8003
Reading: 854.0, Time Elapsed: 8214
Reading: 853.0, Time Elapsed: 8425
Reading: 853.0, Time Elapsed: 8636
Reading: 853.0, Time Elapsed: 8846

Data from Force Sensor 0:
Reading: 0.0, Time Elapsed: 191
Reading: 0.0, Time Elapsed: 191
Reading: 0.0, Time Elapsed: 191

Data from Force Sensor 1:
Reading: 0.0, Time Elapsed: 402
Reading: 0.0, Time Elapsed: 402
Reading: 0.0, Time Elapsed: 402

Data from Force Sensor 2:
Reading: 0.0, Time Elapsed: 613
Reading: 0.0, Time Elapsed: 613
Reading: 0.0, Time Elapsed: 613

Data from Force Sensor 3:
Reading: 0.0, Time Elapsed: 816
Reading: 0.0, Time Elapsed: 816
Reading: 0.0, Time Elapsed: 816

Data from Force Sensor 4:
Reading: 0.0, Time Elapsed: 1029
Reading: 0.0, Time Elapsed: 1029
Reading: 44.0, Time Elapsed: 1029

Data from Force Sensor 5:
Reading: 0.0, Time Elapsed: 1246
Reading: 0.0, Time Elapsed: 1246
Reading: 44.0, Time Elapsed: 1246

Data from Force Sensor 6:
Reading: 0.0, Time Elapsed: 1458
Reading: 0.0, Time Elapsed: 1458
Reading: 0.0, Time Elapsed: 1458

Data from Force Sensor 7:
Reading: 0.0, Time Elapsed: 1671
Reading: 0.0, Time Elapsed: 1671
Reading: 44.0, Time Elapsed: 1671

Data from Force Sensor 8:
Reading: 0.0, Time Elapsed: 1881
Reading: 0.0, Time Elapsed: 1881
Reading: 45.0, Time Elapsed: 1881

Data from Force Sensor 9:
Reading: 0.0, Time Elapsed: 2083
Reading: 0.0, Time Elapsed: 2083
Reading: 0.0, Time Elapsed: 2083

Data from Force Sensor 10:
Reading: 0.0, Time Elapsed: 2302
Reading: 0.0, Time Elapsed: 2302
Reading: 32.0, Time Elapsed: 2302

Data from Force Sensor 11:
Reading: 0.0, Time Elapsed: 2516
Reading: 0.0, Time Elapsed: 2516
Reading: 44.0, Time Elapsed: 2516

Data from Force Sensor 12:
Reading: 0.0, Time Elapsed: 2727
Reading: 0.0, Time Elapsed: 2727
Reading: 0.0, Time Elapsed: 2727

Data from Force Sensor 13:
Reading: 0.0, Time Elapsed: 2937
Reading: 0.0, Time Elapsed: 2937
Reading: 0.0, Time Elapsed: 2937

Data from Force Sensor 14:
Reading: 0.0, Time Elapsed: 3148
Reading: 42.0, Time Elapsed: 3148
Reading: 0.0, Time Elapsed: 3148

Data from Force Sensor 15:
Reading: 0.0, Time Elapsed: 3350
