Data from Accelerometer (Altitude):
Reading: 4.17, Time Elapsed: 169
Reading: 4.17, Time Elapsed: 380
Reading: 4.17, Time Elapsed: 591
Reading: 4.17, Time Elapsed: 802
Reading: 4.17, Time Elapsed: 1012
Reading: 4.17, Time Elapsed: 1224
Reading: 4.17, Time Elapsed: 1426
Reading: 4.17, Time Elapsed: 1646
Reading: 4.17, Time Elapsed: 1857
Reading: 4.17, Time Elapsed: 2067
Reading: 4.17, Time Elapsed: 2279
Reading: 4.07, Time Elapsed: 2499
Reading: 4.06, Time Elapsed: 2701
Reading: 4.17, Time Elapsed: 2911
Reading: 4.17, Time Elapsed: 3122
Reading: 4.17, Time Elapsed: 3333
Reading: 4.06, Time Elapsed: 3544
Reading: 4.07, Time Elapsed: 3755
Reading: 4.17, Time Elapsed: 3965
Reading: 4.17, Time Elapsed: 4177
Reading: 4.07, Time Elapsed: 4385
Reading: 4.07, Time Elapsed: 4596
Reading: 4.17, Time Elapsed: 4810
Reading: 4.17, Time Elapsed: 5015
Reading: 4.17, Time Elapsed: 5221
Reading: 4.11, Time Elapsed: 5440
Reading: 4.06, Time Elapsed: 5653
Reading: 4.17, Time Elapsed: 5862
Reading: 4.17, Time Elapsed: 6073
Reading: 4.07, Time Elapsed: 6284
Reading: 4.06, Time Elapsed: 6494
Reading: 4.06, Time Elapsed: 6706
Reading: 4.17, Time Elapsed: 6917
Reading: 4.17, Time Elapsed: 7127
Reading: 4.06, Time Elapsed: 7339
Reading: 4.09, Time Elapsed: 7549
Reading: 4.17, Time Elapsed: 7760
Reading: 4.17, Time Elapsed: 7972
Reading: 4.17, Time Elapsed: 8182
Reading: 4.17, Time Elapsed: 8393
Reading: 4.17, Time Elapsed: 8594
Reading: 4.17, Time Elapsed: 8813
Reading: 4.17, Time Elapsed: 9023
Reading: 4.17, Time Elapsed: 9234

Data from Flex Sensors:
Reading: 854.0, Time Elapsed: 169
Reading: 854.0, Time Elapsed: 380
Reading: 854.0, Time Elapsed: 591
Reading: 854.0, Time Elapsed: 802
Reading: 854.0, Time Elapsed: 1012
Reading: 854.0, Time Elapsed: 1224
Reading: 854.0, Time Elapsed: 1426
Reading: 854.0, Time Elapsed: 1646
Reading: 854.0, Time Elapsed: 1857
Reading: 854.0, Time Elapsed: 2067
Reading: 853.0, Time Elapsed: 2279
Reading: 833.0, Time Elapsed: 2499
Reading: 830.0, Time Elapsed: 2701
Reading: 854.0, Time Elapsed: 2911
Reading: 854.0, Time Elapsed: 3122
Reading: 853.0, Time Elapsed: 3333
Reading: 831.0, Time Elapsed: 3544
Reading: 832.0, Time Elapsed: 3755
