Data from Accelerometer (Altitude):
Reading: 4.17, Time Elapsed: 866
Reading: 4.17, Time Elapsed: 1067
Reading: 4.17, Time Elapsed: 1277
Reading: 4.06, Time Elapsed: 1482
Reading: 4.06, Time Elapsed: 1692
Reading: 4.07, Time Elapsed: 1902
Reading: 4.17, Time Elapsed: 2122
Reading: 4.17, Time Elapsed: 2332
Reading: 4.06, Time Elapsed: 2543
Reading: 4.06, Time Elapsed: 2747
Reading: 4.17, Time Elapsed: 2966
Reading: 4.17, Time Elapsed: 3176
Reading: 4.17, Time Elapsed: 3387
Reading: 4.06, Time Elapsed: 3599
Reading: 4.06, Time Elapsed: 3809
Reading: 4.08, Time Elapsed: 4020
Reading: 4.17, Time Elapsed: 4233
Reading: 4.06, Time Elapsed: 4444
Reading: 4.06, Time Elapsed: 4645
Reading: 4.17, Time Elapsed: 4865
Reading: 4.17, Time Elapsed: 5076
Reading: 4.06, Time Elapsed: 5482
Reading: 4.06, Time Elapsed: 5490
Reading: 4.17, Time Elapsed: 5709
Reading: 4.17, Time Elapsed: 5920
Reading: 4.06, Time Elapsed: 6131
Reading: 4.06, Time Elapsed: 6342
Reading: 4.07, Time Elapsed: 6553
Reading: 4.17, Time Elapsed: 6764
Reading: 4.06, Time Elapsed: 6975
Reading: 4.06, Time Elapsed: 7178
Reading: 4.1, Time Elapsed: 7389
Reading: 4.17, Time Elapsed: 7608
Reading: 4.17, Time Elapsed: 7821
Reading: 4.06, Time Elapsed: 8022
Reading: 4.07, Time Elapsed: 8242
Reading: 4.17, Time Elapsed: 8453
Reading: 4.17, Time Elapsed: 8664
Reading: 4.17, Time Elapsed: 8875
Reading: 4.17, Time Elapsed: 9086
Reading: 4.17, Time Elapsed: 9297
Reading: 4.17, Time Elapsed: 9508

Data from Flex Sensors:
Reading: 854.0, Time Elapsed: 866
Reading: 853.0, Time Elapsed: 1067
Reading: 854.0, Time Elapsed: 1277
Reading: 831.0, Time Elapsed: 1482
Reading: 830.0, Time Elapsed: 1692
Reading: 833.0, Time Elapsed: 1902
Reading: 853.0, Time Elapsed: 2122
Reading: 853.0, Time Elapsed: 2332
Reading: 831.0, Time Elapsed: 2543
Reading: 830.0, Time Elapsed: 2747
Reading: 853.0, Time Elapsed: 2966
Reading: 853.0, Time Elapsed: 3176
Reading: 853.0, Time Elapsed: 3387
Reading: 830.0, Time Elapsed: 3599
Reading: 830.0, Time Elapsed: 3809
Reading: 834.0, Time Elapsed: 4020
Reading: 854.0, Time Elapsed: 4233
Reading: 831.0, Time Elapsed: 4444
Reading: 831.0, Time Elapsed: 4645
Reading: 854.0, Time Elapsed: 4865
Reading: 854.0, Time Elapsed: 5076
Reading: 831.0, Time Elapsed: 5482
Reading: 831.0, Time Elapsed: 5490
Reading: 854.0, Time Elapsed: 5709
Reading: 854.0, Time Elapsed: 5920
Reading: 831.0, Time Elapsed: 6131
Reading: 830.0, Time Elapsed: 6342
Reading: 833.0, Time Elapsed: 6553
Reading: 853.0, Time Elapsed: 6764
Reading: 831.0, Time Elapsed: 6975
Reading: 830.0, Time Elapsed: 7178
Reading: 838.0, Time Elapsed: 7389
Reading: 853.0, Time Elapsed: 7608
Reading: 854.0, Time Elapsed: 7821
Reading: 830.0, Time Elapsed: 8022
Reading: 833.0, Time Elapsed: 8242
Reading: 853.0, Time Elapsed: 8453
Reading: 854.0, Time Elapsed: 8664
Reading: 853.0, Time Elapsed: 8875
Reading: 853.0, Time Elapsed: 9086
Reading: 853.0, Time Elapsed: 9297
Reading: 854.0, Time Elapsed: 9508

Data from Force Sensor 0:
Reading: 0.0, Time Elapsed: 866
Reading: 0.0, Time Elapsed: 866
Reading: 0.0, Time Elapsed: 866

Data from Force Sensor 1:
Reading: 0.0, Time Elapsed: 1067
Reading: 0.0, Time Elapsed: 1067
Reading: 0.0, Time Elapsed: 1067

Data from Force Sensor 2:
Reading: 0.0, Time Elapsed: 1277
Reading: 0.0, Time Elapsed: 1277
Reading: 0.0, Time Elapsed: 1277

Data from Force Sensor 3:
Reading: 0.0, Time Elapsed: 1482
Reading: 0.0, Time Elapsed: 1482
Reading: 42.0, Time Elapsed: 1482

Data from Force Sensor 4:
Reading: 0.0, Time Elapsed: 1692
Reading: 0.0, Time Elapsed: 1692
Reading: 44.0, Time Elapsed: 1692

Data from Force Sensor 5:
Reading: 0.0, Time Elapsed: 1902
Reading: 0.0, Time Elapsed: 1902
Reading: 39.0, Time Elapsed: 1902

Data from Force Sensor 6:
Reading: 0.0, Time Elapsed: 2122
Reading: 0.0, Time Elapsed: 2122
Reading: 0.0, Time Elapsed: 2122

Data from Force Sensor 7:
Reading: 0.0, Time Elapsed: 2332
Reading: 0.0, Time Elapsed: 2332
Reading: 0.0, Time Elapsed: 2332

Data from Force Sensor 8:
Reading: 0.0, Time Elapsed: 2543
Reading: 0.0, Time Elapsed: 2543
Reading: 43.0, Time Elapsed: 2543

Data from Force Sensor 9:
Reading: 0.0, Time Elapsed: 2747
Reading: 0.0, Time Elapsed: 2747
Reading: 44.0, Time Elapsed: 2747

Data from Force Sensor 10:
Reading: 0.0, Time Elapsed: 2966
Reading: 0.0, Time Elapsed: 2966
Reading: 0.0, Time Elapsed: 2966

Data from Force Sensor 11:
Reading: 0.0, Time Elapsed: 3176
Reading: 0.0, Time Elapsed: 3176
Reading: 0.0, Time Elapsed: 3176

Data from Force Sensor 12:
Reading: 0.0, Time Elapsed: 3387
Reading: 0.0, Time Elapsed: 3387
Reading: 0.0, Time Elapsed: 3387

Data from Force Sensor 13:
Reading: 0.0, Time Elapsed: 3599
Reading: 44.0, Time Elapsed: 3599
Reading: 0.0, Time Elapsed: 3599

Data from Force Sensor 14:
Reading: 0.0, Time Elapsed: 3809
Reading: 43.0, Time Elapsed: 3809
Reading: 0.0, Time Elapsed: 3809

Data from Force Sensor 15:
Reading: 0.0, Time Elapsed: 4020
Reading: 36.0, Time Elapsed: 4020
Reading: 0.0, Time Elapsed: 4020

Data from Force Sensor 16:
Reading: 0.0, Time Elapsed: 4233
Reading: 0.0, Time Elapsed: 4233
Reading: 0.0, Time Elapsed: 4233

Data from Force Sensor 17:
Reading: 0.0, Time Elapsed: 4444
Reading: 42.0, Time Elapsed: 4444
Reading: 0.0, Time Elapsed: 4444

Data from Force Sensor 18:
Reading: 0.0, Time Elapsed: 4645
Reading: 43.0, Time Elapsed: 4645
Reading: 0.0, Time Elapsed: 4645

Data from Force Sensor 19:
Reading: 0.0, Time Elapsed: 4865
Reading: 0.0, Time Elapsed: 4865
Reading: 0.0, Time Elapsed: 4865

Data from Force Sensor 20:
Reading: 0.0, Time Elapsed: 5076
Reading: 0.0, Time Elapsed: 5076
Reading: 0.0, Time Elapsed: 5076

Data from Force Sensor 21:
Reading: 0.0, Time Elapsed: 5482
Reading: 42.0, Time Elapsed: 5482
Reading: 0.0, Time Elapsed: 5482

Data from Force Sensor 22:
Reading: 0.0, Time Elapsed: 5490
Reading: 41.0, Time Elapsed: 5490
Reading: 0.0, Time Elapsed: 5490

Data from Force Sensor 23:
Reading: 0.0, Time Elapsed: 5709
Reading: 0.0, Time Elapsed: 5709
Reading: 0.0, Time Elapsed: 5709

Data from Force Sensor 24:
Reading: 0.0, Time Elapsed: 5920
Reading: 0.0, Time Elapsed: 5920
Reading: 0.0, Time Elapsed: 5920

Data from Force Sensor 25:
Reading: 0.0, Time Elapsed: 6131
Reading: 0.0, Time Elapsed: 6131
Reading: 44.0, Time Elapsed: 6131

Data from Force Sensor 26:
Reading: 0.0, Time Elapsed: 6342
Reading: 0.0, Time Elapsed: 6342
Reading: 43.0, Time Elapsed: 6342

Data from Force Sensor 27:
Reading: 0.0, Time Elapsed: 6553
Reading: 0.0, Time Elapsed: 6553
Reading: 38.0, Time Elapsed: 6553

Data from Force Sensor 28:
Reading: 0.0, Time Elapsed: 6764
Reading: 0.0, Time Elapsed: 6764
Reading: 0.0, Time Elapsed: 6764

Data from Force Sensor 29:
Reading: 0.0, Time Elapsed: 6975
Reading: 0.0, Time Elapsed: 6975
Reading: 42.0, Time Elapsed: 6975

Data from Force Sensor 30:
Reading: 0.0, Time Elapsed: 7178
Reading: 0.0, Time Elapsed: 7178
Reading: 42.0, Time Elapsed: 7178

Data from Force Sensor 31:
Reading: 0.0, Time Elapsed: 7389
Reading: 0.0, Time Elapsed: 7389
Reading: 28.0, Time Elapsed: 7389

Data from Force Sensor 32:
Reading: 0.0, Time Elapsed: 7608
Reading: 0.0, Time Elapsed: 7608
Reading: 0.0, Time Elapsed: 7608

Data from Force Sensor 33:
Reading: 0.0, Time Elapsed: 7821
Reading: 0.0, Time Elapsed: 7821
Reading: 0.0, Time Elapsed: 7821

Data from Force Sensor 34:
Reading: 0.0, Time Elapsed: 8022
Reading: 43.0, Time Elapsed: 8022
Reading: 0.0, Time Elapsed: 8022

Data from Force Sensor 35:
Reading: 0.0, Time Elapsed: 8242
Reading: 38.0, Time Elapsed: 8242
Reading: 0.0, Time Elapsed: 8242

Data from Force Sensor 36:
Reading: 0.0, Time Elapsed: 8453
Reading: 0.0, Time Elapsed: 8453
Reading: 0.0, Time Elapsed: 8453

Data from Force Sensor 37:
Reading: 0.0, Time Elapsed: 8664
Reading: 0.0, Time Elapsed: 8664
Reading: 0.0, Time Elapsed: 8664

Data from Force Sensor 38:
Reading: 0.0, Time Elapsed: 8875
Reading: 0.0, Time Elapsed: 8875
Reading: 0.0, Time Elapsed: 8875

Data from Force Sensor 39:
Reading: 0.0, Time Elapsed: 9086
Reading: 0.0, Time Elapsed: 9086
Reading: 0.0, Time Elapsed: 9086

Data from Force Sensor 40:
Reading: 0.0, Time Elapsed: 9297
Reading: 0.0, Time Elapsed: 9297
Reading: 0.0, Time Elapsed: 9297

Data from Force Sensor 41:
Reading: 0.0, Time Elapsed: 9508
Reading: 0.0, Time Elapsed: 9508
Reading: 0.0, Time Elapsed: 9508
