Data from Accelerometer (Altitude):
Reading: 0.48, Time Elapsed: 8060
Reading: 1.13, Time Elapsed: 8077
Reading: 1.15, Time Elapsed: 8102
Reading: 1.17, Time Elapsed: 8126
Reading: 1.17, Time Elapsed: 8151
Reading: 1.21, Time Elapsed: 8177
Reading: 1.22, Time Elapsed: 8200
Reading: 1.19, Time Elapsed: 8226
Reading: 1.24, Time Elapsed: 8251
Reading: 1.32, Time Elapsed: 8276
Reading: 1.27, Time Elapsed: 8299
Reading: 1.26, Time Elapsed: 8325
Reading: 1.27, Time Elapsed: 8350
Reading: 1.2, Time Elapsed: 8375
Reading: 1.2, Time Elapsed: 8394
Reading: 1.18, Time Elapsed: 8425
Reading: 1.14, Time Elapsed: 8450
Reading: 1.21, Time Elapsed: 8475
Reading: 1.28, Time Elapsed: 8501
Reading: 1.23, Time Elapsed: 8526
Reading: 1.17, Time Elapsed: 8551
Reading: 1.17, Time Elapsed: 8577
Reading: 1.18, Time Elapsed: 8602
Reading: 1.24, Time Elapsed: 8625
Reading: 1.26, Time Elapsed: 8651
Reading: 1.26, Time Elapsed: 8676
Reading: 1.17, Time Elapsed: 8702
Reading: 1.2, Time Elapsed: 8727
Reading: 1.24, Time Elapsed: 8753
Reading: 1.23, Time Elapsed: 8778
Reading: 1.26, Time Elapsed: 8802
Reading: 1.24, Time Elapsed: 8827
Reading: 1.22, Time Elapsed: 8852
Reading: 1.3, Time Elapsed: 8878
Reading: 1.27, Time Elapsed: 8902
Reading: 1.27, Time Elapsed: 8929
Reading: 1.26, Time Elapsed: 8954
Reading: 1.17, Time Elapsed: 8979
Reading: 1.24, Time Elapsed: 9003
Reading: 1.21, Time Elapsed: 9027
Reading: 1.2, Time Elapsed: 9053
Reading: 1.27, Time Elapsed: 9079
Reading: 1.26, Time Elapsed: 9104
Reading: 1.23, Time Elapsed: 9129
Reading: 1.28, Time Elapsed: 9155
Reading: 1.26, Time Elapsed: 9180
Reading: 1.3, Time Elapsed: 9203
Reading: 1.24, Time Elapsed: 9229
Reading: 1.25, Time Elapsed: 9254
Reading: 1.26, Time Elapsed: 9280
Reading: 1.26, Time Elapsed: 9305
Reading: 1.25, Time Elapsed: 9330
Reading: 1.27, Time Elapsed: 9357
Reading: 1.25, Time Elapsed: 9380
Reading: 1.3, Time Elapsed: 9405
Reading: 1.25, Time Elapsed: 9430
Reading: 1.2, Time Elapsed: 9456
Reading: 1.25, Time Elapsed: 9486
Reading: 1.26, Time Elapsed: 9506
Reading: 1.24, Time Elapsed: 9532
Reading: 1.25, Time Elapsed: 9555
Reading: 1.26, Time Elapsed: 9581
Reading: 1.25, Time Elapsed: 9606
Reading: 1.26, Time Elapsed: 9631
Reading: 1.29, Time Elapsed: 9656
Reading: 1.29, Time Elapsed: 9682
Reading: 1.27, Time Elapsed: 9708
Reading: 1.24, Time Elapsed: 9733
Reading: 1.22, Time Elapsed: 9757
Reading: 1.16, Time Elapsed: 9782
Reading: 1.08, Time Elapsed: 9807
Reading: 1.11, Time Elapsed: 9833
Reading: 1.09, Time Elapsed: 9858
Reading: 1.1, Time Elapsed: 9883
Reading: 1.09, Time Elapsed: 9909
Reading: 1.14, Time Elapsed: 9932
Reading: 1.11, Time Elapsed: 9957
Reading: 1.13, Time Elapsed: 9983
Reading: 1.16, Time Elapsed: 10008
Reading: 1.19, Time Elapsed: 10034
Reading: 1.23, Time Elapsed: 10059
Reading: 1.26, Time Elapsed: 10085
Reading: 1.22, Time Elapsed: 10108
Reading: 1.26, Time Elapsed: 10134
Reading: 1.2, Time Elapsed: 10158
Reading: 1.27, Time Elapsed: 10184
Reading: 1.23, Time Elapsed: 10210
Reading: 1.19, Time Elapsed: 10226
Reading: 1.16, Time Elapsed: 10250
Reading: 1.12, Time Elapsed: 10276
Reading: 1.22, Time Elapsed: 10300
Reading: 1.22, Time Elapsed: 10335
Reading: 1.25, Time Elapsed: 10359
Reading: 1.18, Time Elapsed: 10385
Reading: 1.18, Time Elapsed: 10411
Reading: 1.14, Time Elapsed: 10434
Reading: 1.15, Time Elapsed: 10459
Reading: 1.18, Time Elapsed: 10485
Reading: 1.16, Time Elapsed: 10510
Reading: 1.21, Time Elapsed: 10540
Reading: 1.21, Time Elapsed: 10561
Reading: 1.26, Time Elapsed: 10587
Reading: 1.25, Time Elapsed: 10612
Reading: 1.23, Time Elapsed: 10636
Reading: 1.23, Time Elapsed: 10660
Reading: 1.24, Time Elapsed: 10686
Reading: 1.23, Time Elapsed: 10711
Reading: 1.17, Time Elapsed: 10737
Reading: 1.22, Time Elapsed: 10762
Reading: 1.25, Time Elapsed: 10787
Reading: 1.19, Time Elapsed: 10813
Reading: 1.14, Time Elapsed: 10837
Reading: 1.14, Time Elapsed: 10862
Reading: 1.14, Time Elapsed: 10887
Reading: 1.19, Time Elapsed: 10913
Reading: 1.21, Time Elapsed: 10938
Reading: 1.2, Time Elapsed: 10963
Reading: 1.18, Time Elapsed: 10989
Reading: 1.21, Time Elapsed: 11014
Reading: 1.16, Time Elapsed: 11037
Reading: 1.19, Time Elapsed: 11063
Reading: 1.17, Time Elapsed: 11088
Reading: 1.21, Time Elapsed: 11114
Reading: 1.25, Time Elapsed: 11139
Reading: 1.23, Time Elapsed: 11165
Reading: 1.2, Time Elapsed: 11190
Reading: 1.16, Time Elapsed: 11215
Reading: 1.17, Time Elapsed: 11239
Reading: 1.2, Time Elapsed: 11264
Reading: 1.18, Time Elapsed: 11289
Reading: 1.21, Time Elapsed: 11314
Reading: 1.23, Time Elapsed: 11340
Reading: 1.23, Time Elapsed: 11366
Reading: 1.24, Time Elapsed: 11391
Reading: 1.18, Time Elapsed: 11417
Reading: 1.22, Time Elapsed: 11440
