Data from Accelerometer (Altitude):
Reading: 4.17, Time Elapsed: 487
Reading: 4.17, Time Elapsed: 682
Reading: 4.17, Time Elapsed: 892
Reading: 4.1, Time Elapsed: 1107
Reading: 4.06, Time Elapsed: 1307
Reading: 4.17, Time Elapsed: 1528
Reading: 4.06, Time Elapsed: 1738
Reading: 4.06, Time Elapsed: 1940
Reading: 4.17, Time Elapsed: 2160
Reading: 4.17, Time Elapsed: 2372
Reading: 4.06, Time Elapsed: 2583
Reading: 4.06, Time Elapsed: 2793
Reading: 4.17, Time Elapsed: 3006
Reading: 4.17, Time Elapsed: 3217
Reading: 4.06, Time Elapsed: 3427
Reading: 4.06, Time Elapsed: 3639
Reading: 4.17, Time Elapsed: 3840
Reading: 4.17, Time Elapsed: 4060
Reading: 4.17, Time Elapsed: 4271
Reading: 4.06, Time Elapsed: 4482
Reading: 4.06, Time Elapsed: 4693
Reading: 4.17, Time Elapsed: 4904
Reading: 4.17, Time Elapsed: 5107
Reading: 4.17, Time Elapsed: 5325
Reading: 4.17, Time Elapsed: 5537
Reading: 4.06, Time Elapsed: 5750
Reading: 4.06, Time Elapsed: 5951
Reading: 4.17, Time Elapsed: 6171
Reading: 4.06, Time Elapsed: 6382
Reading: 4.08, Time Elapsed: 6593
Reading: 4.17, Time Elapsed: 6804
Reading: 4.06, Time Elapsed: 7016
Reading: 4.06, Time Elapsed: 7226
Reading: 4.17, Time Elapsed: 7429
Reading: 4.17, Time Elapsed: 7648
Reading: 4.17, Time Elapsed: 7859
Reading: 4.17, Time Elapsed: 8069
Reading: 4.17, Time Elapsed: 8281
Reading: 4.17, Time Elapsed: 8491
Reading: 4.17, Time Elapsed: 8702

Data from Flex Sensors:
Reading: 853.0, Time Elapsed: 487
Reading: 853.0, Time Elapsed: 682
Reading: 853.0, Time Elapsed: 892
Reading: 838.0, Time Elapsed: 1107
Reading: 831.0, Time Elapsed: 1307
Reading: 854.0, Time Elapsed: 1528
Reading: 831.0, Time Elapsed: 1738
Reading: 830.0, Time Elapsed: 1940
Reading: 854.0, Time Elapsed: 2160
Reading: 854.0, Time Elapsed: 2372
Reading: 831.0, Time Elapsed: 2583
Reading: 830.0, Time Elapsed: 2793
Reading: 854.0, Time Elapsed: 3006
Reading: 853.0, Time Elapsed: 3217
Reading: 830.0, Time Elapsed: 3427
Reading: 830.0, Time Elapsed: 3639
Reading: 853.0, Time Elapsed: 3840
Reading: 853.0, Time Elapsed: 4060
Reading: 854.0, Time Elapsed: 4271
Reading: 831.0, Time Elapsed: 4482
Reading: 830.0, Time Elapsed: 4693
Reading: 854.0, Time Elapsed: 4904
Reading: 853.0, Time Elapsed: 5107
Reading: 853.0, Time Elapsed: 5325
Reading: 854.0, Time Elapsed: 5537
Reading: 830.0, Time Elapsed: 5750
Reading: 831.0, Time Elapsed: 5951
Reading: 854.0, Time Elapsed: 6171
Reading: 830.0, Time Elapsed: 6382
Reading: 834.0, Time Elapsed: 6593
Reading: 853.0, Time Elapsed: 6804
Reading: 831.0, Time Elapsed: 7016
Reading: 830.0, Time Elapsed: 7226
Reading: 854.0, Time Elapsed: 7429
Reading: 854.0, Time Elapsed: 7648
Reading: 853.0, Time Elapsed: 7859
Reading: 854.0, Time Elapsed: 8069
Reading: 854.0, Time Elapsed: 8281
Reading: 854.0, Time Elapsed: 8491
Reading: 854.0, Time Elapsed: 8702

Data from Force Sensor 0:
Reading: 0.0, Time Elapsed: 487
Reading: 0.0, Time Elapsed: 487
Reading: 0.0, Time Elapsed: 487

Data from Force Sensor 1:
Reading: 0.0, Time Elapsed: 682
Reading: 0.0, Time Elapsed: 682
Reading: 0.0, Time Elapsed: 682

Data from Force Sensor 2:
Reading: 0.0, Time Elapsed: 892
Reading: 0.0, Time Elapsed: 892
Reading: 0.0, Time Elapsed: 892

Data from Force Sensor 3:
Reading: 0.0, Time Elapsed: 1107
Reading: 0.0, Time Elapsed: 1107
Reading: 30.0, Time Elapsed: 1107

Data from Force Sensor 4:
Reading: 0.0, Time Elapsed: 1307
Reading: 0.0, Time Elapsed: 1307
Reading: 43.0, Time Elapsed: 1307

Data from Force Sensor 5:
Reading: 0.0, Time Elapsed: 1528
Reading: 0.0, Time Elapsed: 1528
Reading: 0.0, Time Elapsed: 1528

Data from Force Sensor 6:
Reading: 0.0, Time Elapsed: 1738
Reading: 0.0, Time Elapsed: 1738
Reading: 42.0, Time Elapsed: 1738

Data from Force Sensor 7:
Reading: 0.0, Time Elapsed: 1940
Reading: 0.0, Time Elapsed: 1940
Reading: 44.0, Time Elapsed: 1940

Data from Force Sensor 8:
Reading: 0.0, Time Elapsed: 2160
Reading: 0.0, Time Elapsed: 2160
Reading: 0.0, Time Elapsed: 2160

Data from Force Sensor 9:
Reading: 0.0, Time Elapsed: 2372
Reading: 0.0, Time Elapsed: 2372
Reading: 0.0, Time Elapsed: 2372

Data from Force Sensor 10:
Reading: 0.0, Time Elapsed: 2583
Reading: 43.0, Time Elapsed: 2583
Reading: 0.0, Time Elapsed: 2583

Data from Force Sensor 11:
Reading: 0.0, Time Elapsed: 2793
Reading: 45.0, Time Elapsed: 2793
Reading: 0.0, Time Elapsed: 2793

Data from Force Sensor 12:
Reading: 0.0, Time Elapsed: 3006
Reading: 0.0, Time Elapsed: 3006
Reading: 0.0, Time Elapsed: 3006

Data from Force Sensor 13:
Reading: 0.0, Time Elapsed: 3217
Reading: 0.0, Time Elapsed: 3217
Reading: 0.0, Time Elapsed: 3217

Data from Force Sensor 14:
Reading: 0.0, Time Elapsed: 3427
Reading: 0.0, Time Elapsed: 3427
Reading: 44.0, Time Elapsed: 3427

Data from Force Sensor 15:
Reading: 0.0, Time Elapsed: 3639
Reading: 0.0, Time Elapsed: 3639
Reading: 44.0, Time Elapsed: 3639

Data from Force Sensor 16:
Reading: 0.0, Time Elapsed: 3840
Reading: 0.0, Time Elapsed: 3840
Reading: 0.0, Time Elapsed: 3840

Data from Force Sensor 17:
Reading: 0.0, Time Elapsed: 4060
Reading: 0.0, Time Elapsed: 4060
Reading: 0.0, Time Elapsed: 4060

Data from Force Sensor 18:
Reading: 0.0, Time Elapsed: 4271
Reading: 0.0, Time Elapsed: 4271
Reading: 0.0, Time Elapsed: 4271

Data from Force Sensor 19:
Reading: 42.0, Time Elapsed: 4482
Reading: 0.0, Time Elapsed: 4482
Reading: 0.0, Time Elapsed: 4482

Data from Force Sensor 20:
Reading: 44.0, Time Elapsed: 4693
Reading: 0.0, Time Elapsed: 4693
Reading: 0.0, Time Elapsed: 4693

Data from Force Sensor 21:
Reading: 0.0, Time Elapsed: 4904
Reading: 0.0, Time Elapsed: 4904
Reading: 0.0, Time Elapsed: 4904

Data from Force Sensor 22:
Reading: 0.0, Time Elapsed: 5107
Reading: 0.0, Time Elapsed: 5107
Reading: 0.0, Time Elapsed: 5107

Data from Force Sensor 23:
Reading: 0.0, Time Elapsed: 5325
Reading: 0.0, Time Elapsed: 5325
Reading: 0.0, Time Elapsed: 5325

Data from Force Sensor 24:
Reading: 0.0, Time Elapsed: 5537
Reading: 0.0, Time Elapsed: 5537
Reading: 0.0, Time Elapsed: 5537

Data from Force Sensor 25:
Reading: 0.0, Time Elapsed: 5750
Reading: 43.0, Time Elapsed: 5750
Reading: 0.0, Time Elapsed: 5750

Data from Force Sensor 26:
Reading: 0.0, Time Elapsed: 5951
Reading: 43.0, Time Elapsed: 5951
Reading: 0.0, Time Elapsed: 5951

Data from Force Sensor 27:
Reading: 0.0, Time Elapsed: 6171
Reading: 0.0, Time Elapsed: 6171
Reading: 0.0, Time Elapsed: 6171

Data from Force Sensor 28:
Reading: 0.0, Time Elapsed: 6382
Reading: 43.0, Time Elapsed: 6382
Reading: 0.0, Time Elapsed: 6382

Data from Force Sensor 29:
Reading: 0.0, Time Elapsed: 6593
Reading: 36.0, Time Elapsed: 6593
Reading: 0.0, Time Elapsed: 6593

Data from Force Sensor 30:
Reading: 0.0, Time Elapsed: 6804
Reading: 0.0, Time Elapsed: 6804
Reading: 0.0, Time Elapsed: 6804

Data from Force Sensor 31:
Reading: 0.0, Time Elapsed: 7016
Reading: 0.0, Time Elapsed: 7016
Reading: 43.0, Time Elapsed: 7016

Data from Force Sensor 32:
Reading: 0.0, Time Elapsed: 7226
Reading: 0.0, Time Elapsed: 7226
Reading: 43.0, Time Elapsed: 7226

Data from Force Sensor 33:
Reading: 0.0, Time Elapsed: 7429
Reading: 0.0, Time Elapsed: 7429
Reading: 0.0, Time Elapsed: 7429

Data from Force Sensor 34:
Reading: 0.0, Time Elapsed: 7648
Reading: 0.0, Time Elapsed: 7648
Reading: 0.0, Time Elapsed: 7648

Data from Force Sensor 35:
Reading: 0.0, Time Elapsed: 7859
Reading: 0.0, Time Elapsed: 7859
Reading: 0.0, Time Elapsed: 7859

Data from Force Sensor 36:
Reading: 0.0, Time Elapsed: 8069
Reading: 0.0, Time Elapsed: 8069
Reading: 0.0, Time Elapsed: 8069

Data from Force Sensor 37:
Reading: 0.0, Time Elapsed: 8281
Reading: 0.0, Time Elapsed: 8281
Reading: 0.0, Time Elapsed: 8281

Data from Force Sensor 38:
Reading: 0.0, Time Elapsed: 8491
Reading: 0.0, Time Elapsed: 8491
Reading: 0.0, Time Elapsed: 8491

Data from Force Sensor 39:
Reading: 0.0, Time Elapsed: 8702
Reading: 0.0, Time Elapsed: 8702
Reading: 0.0, Time Elapsed: 8702
