Data from Accelerometer (Altitude):
Reading: 4.17, Time Elapsed: 126
Reading: 4.17, Time Elapsed: 336
Reading: 4.17, Time Elapsed: 547
Reading: 4.17, Time Elapsed: 758
Reading: 4.17, Time Elapsed: 969
Reading: 4.17, Time Elapsed: 1180
Reading: 4.17, Time Elapsed: 1389
Reading: 4.17, Time Elapsed: 1599
Reading: 4.17, Time Elapsed: 1810
Reading: 4.17, Time Elapsed: 2014
Reading: 4.17, Time Elapsed: 2232
Reading: 4.17, Time Elapsed: 2444
Reading: 4.17, Time Elapsed: 2654
Reading: 4.17, Time Elapsed: 2865
Reading: 4.17, Time Elapsed: 3076
Reading: 4.17, Time Elapsed: 3287
Reading: 4.17, Time Elapsed: 3498
Reading: 4.06, Time Elapsed: 3710
Reading: 4.06, Time Elapsed: 3920
Reading: 4.17, Time Elapsed: 4132
Reading: 4.17, Time Elapsed: 4342
Reading: 4.06, Time Elapsed: 4553
Reading: 4.06, Time Elapsed: 4764
Reading: 4.17, Time Elapsed: 4974
Reading: 4.17, Time Elapsed: 5175
Reading: 4.17, Time Elapsed: 5396
Reading: 4.17, Time Elapsed: 5606
Reading: 4.06, Time Elapsed: 5818
Reading: 4.08, Time Elapsed: 6027
Reading: 4.17, Time Elapsed: 6230
Reading: 4.06, Time Elapsed: 6437
Reading: 4.06, Time Elapsed: 6660
Reading: 4.17, Time Elapsed: 6873
Reading: 4.17, Time Elapsed: 7082
Reading: 4.17, Time Elapsed: 7293
Reading: 4.06, Time Elapsed: 7496
Reading: 4.06, Time Elapsed: 7707
Reading: 4.17, Time Elapsed: 7925
Reading: 4.17, Time Elapsed: 8138
Reading: 4.17, Time Elapsed: 8347
Reading: 4.17, Time Elapsed: 8558
Reading: 4.17, Time Elapsed: 8769
Reading: 4.17, Time Elapsed: 8980

Data from Flex Sensors:
Reading: 854.0, Time Elapsed: 126
Reading: 853.0, Time Elapsed: 336
Reading: 854.0, Time Elapsed: 547
Reading: 853.0, Time Elapsed: 758
Reading: 853.0, Time Elapsed: 969
Reading: 853.0, Time Elapsed: 1180
Reading: 854.0, Time Elapsed: 1389
Reading: 854.0, Time Elapsed: 1599
Reading: 853.0, Time Elapsed: 1810
Reading: 853.0, Time Elapsed: 2014
Reading: 854.0, Time Elapsed: 2232
Reading: 853.0, Time Elapsed: 2444
Reading: 853.0, Time Elapsed: 2654
Reading: 854.0, Time Elapsed: 2865
Reading: 854.0, Time Elapsed: 3076
Reading: 854.0, Time Elapsed: 3287
Reading: 854.0, Time Elapsed: 3498
Reading: 831.0, Time Elapsed: 3710
Reading: 830.0, Time Elapsed: 3920
Reading: 854.0, Time Elapsed: 4132
Reading: 854.0, Time Elapsed: 4342
Reading: 830.0, Time Elapsed: 4553
