Data from Accelerometer (Altitude):
Reading: 4.17, Time Elapsed: 379
Reading: 4.17, Time Elapsed: 578
Reading: 4.17, Time Elapsed: 782
Reading: 4.17, Time Elapsed: 1000
Reading: 4.17, Time Elapsed: 1212
Reading: 4.17, Time Elapsed: 1423
Reading: 4.07, Time Elapsed: 1637
Reading: 4.06, Time Elapsed: 1847
Reading: 4.17, Time Elapsed: 2057
Reading: 4.06, Time Elapsed: 2259
Reading: 4.06, Time Elapsed: 2479
Reading: 4.17, Time Elapsed: 2690
Reading: 4.07, Time Elapsed: 2901
Reading: 4.06, Time Elapsed: 3112
Reading: 4.17, Time Elapsed: 3322
Reading: 4.17, Time Elapsed: 3525
Reading: 4.06, Time Elapsed: 3746
Reading: 4.06, Time Elapsed: 3956
Reading: 4.17, Time Elapsed: 4168
Reading: 4.17, Time Elapsed: 4379
Reading: 4.06, Time Elapsed: 4590
Reading: 4.08, Time Elapsed: 4801
Reading: 4.17, Time Elapsed: 5011
Reading: 4.17, Time Elapsed: 5223
Reading: 4.17, Time Elapsed: 5431
Reading: 4.17, Time Elapsed: 5645
Reading: 4.17, Time Elapsed: 5854
Reading: 4.17, Time Elapsed: 6067
Reading: 4.17, Time Elapsed: 6276
Reading: 4.17, Time Elapsed: 6487
Reading: 4.17, Time Elapsed: 6697

Data from Flex Sensors:
Reading: 853.0, Time Elapsed: 379
Reading: 853.0, Time Elapsed: 578
Reading: 854.0, Time Elapsed: 782
Reading: 854.0, Time Elapsed: 1000
Reading: 854.0, Time Elapsed: 1212
Reading: 853.0, Time Elapsed: 1423
Reading: 832.0, Time Elapsed: 1637
Reading: 830.0, Time Elapsed: 1847
Reading: 853.0, Time Elapsed: 2057
Reading: 831.0, Time Elapsed: 2259
Reading: 830.0, Time Elapsed: 2479
Reading: 854.0, Time Elapsed: 2690
Reading: 832.0, Time Elapsed: 2901
Reading: 831.0, Time Elapsed: 3112
Reading: 854.0, Time Elapsed: 3322
Reading: 853.0, Time Elapsed: 3525
Reading: 830.0, Time Elapsed: 3746
Reading: 831.0, Time Elapsed: 3956
Reading: 853.0, Time Elapsed: 4168
Reading: 853.0, Time Elapsed: 4379
Reading: 831.0, Time Elapsed: 4590
Reading: 835.0, Time Elapsed: 4801
Reading: 853.0, Time Elapsed: 5011
Reading: 853.0, Time Elapsed: 5223
Reading: 854.0, Time Elapsed: 5431
Reading: 854.0, Time Elapsed: 5645
Reading: 854.0, Time Elapsed: 5854
Reading: 853.0, Time Elapsed: 6067
Reading: 854.0, Time Elapsed: 6276
Reading: 853.0, Time Elapsed: 6487
Reading: 853.0, Time Elapsed: 6697

Data from Force Sensor 0:
Reading: 0.0, Time Elapsed: 379
Reading: 0.0, Time Elapsed: 379
Reading: 0.0, Time Elapsed: 379

Data from Force Sensor 1:
Reading: 0.0, Time Elapsed: 578
Reading: 0.0, Time Elapsed: 578
Reading: 0.0, Time Elapsed: 578

Data from Force Sensor 2:
Reading: 0.0, Time Elapsed: 782
Reading: 0.0, Time Elapsed: 782
Reading: 0.0, Time Elapsed: 782

Data from Force Sensor 3:
Reading: 0.0, Time Elapsed: 1000
Reading: 0.0, Time Elapsed: 1000
Reading: 0.0, Time Elapsed: 1000

Data from Force Sensor 4:
Reading: 0.0, Time Elapsed: 1212
Reading: 0.0, Time Elapsed: 1212
Reading: 0.0, Time Elapsed: 1212

Data from Force Sensor 5:
Reading: 0.0, Time Elapsed: 1423
Reading: 0.0, Time Elapsed: 1423
Reading: 0.0, Time Elapsed: 1423

Data from Force Sensor 6:
Reading: 0.0, Time Elapsed: 1637
Reading: 0.0, Time Elapsed: 1637
Reading: 40.0, Time Elapsed: 1637

Data from Force Sensor 7:
Reading: 0.0, Time Elapsed: 1847
Reading: 0.0, Time Elapsed: 1847
Reading: 44.0, Time Elapsed: 1847

Data from Force Sensor 8:
Reading: 0.0, Time Elapsed: 2057
Reading: 0.0, Time Elapsed: 2057
Reading: 0.0, Time Elapsed: 2057

Data from Force Sensor 9:
Reading: 0.0, Time Elapsed: 2259
Reading: 0.0, Time Elapsed: 2259
Reading: 43.0, Time Elapsed: 2259

Data from Force Sensor 10:
Reading: 0.0, Time Elapsed: 2479
Reading: 0.0, Time Elapsed: 2479
Reading: 45.0, Time Elapsed: 2479

Data from Force Sensor 11:
Reading: 0.0, Time Elapsed: 2690
Reading: 0.0, Time Elapsed: 2690
Reading: 0.0, Time Elapsed: 2690

Data from Force Sensor 12:
Reading: 0.0, Time Elapsed: 2901
Reading: 0.0, Time Elapsed: 2901
Reading: 40.0, Time Elapsed: 2901

Data from Force Sensor 13:
Reading: 0.0, Time Elapsed: 3112
Reading: 0.0, Time Elapsed: 3112
Reading: 42.0, Time Elapsed: 3112

Data from Force Sensor 14:
Reading: 0.0, Time Elapsed: 3322
Reading: 0.0, Time Elapsed: 3322
Reading: 0.0, Time Elapsed: 3322

Data from Force Sensor 15:
Reading: 0.0, Time Elapsed: 3525
Reading: 0.0, Time Elapsed: 3525
Reading: 0.0, Time Elapsed: 3525

Data from Force Sensor 16:
Reading: 0.0, Time Elapsed: 3746
Reading: 0.0, Time Elapsed: 3746
Reading: 44.0, Time Elapsed: 3746

Data from Force Sensor 17:
Reading: 0.0, Time Elapsed: 3956
Reading: 0.0, Time Elapsed: 3956
Reading: 41.0, Time Elapsed: 3956

Data from Force Sensor 18:
Reading: 0.0, Time Elapsed: 4168
Reading: 0.0, Time Elapsed: 4168
Reading: 0.0, Time Elapsed: 4168

Data from Force Sensor 19:
Reading: 0.0, Time Elapsed: 4379
Reading: 0.0, Time Elapsed: 4379
Reading: 0.0, Time Elapsed: 4379

Data from Force Sensor 20:
Reading: 0.0, Time Elapsed: 4590
Reading: 42.0, Time Elapsed: 4590
Reading: 0.0, Time Elapsed: 4590

Data from Force Sensor 21:
Reading: 0.0, Time Elapsed: 4801
Reading: 35.0, Time Elapsed: 4801
Reading: 0.0, Time Elapsed: 4801

Data from Force Sensor 22:
Reading: 0.0, Time Elapsed: 5011
Reading: 0.0, Time Elapsed: 5011
Reading: 0.0, Time Elapsed: 5011

Data from Force Sensor 23:
Reading: 0.0, Time Elapsed: 5223
Reading: 0.0, Time Elapsed: 5223
Reading: 0.0, Time Elapsed: 5223

